#_RAJ2000   _DEJ2000  Name     rh rm rs     dg dm ds       HV     mag    Simba   
151.2125   -7.7492  N3115-001  10 04 51.0  -07 44 57.0   645.58  99.99  Simbad
151.2287   -7.7321  N3115-002  10 04 54.9  -07 43 55.5   845.18  18.96  Simbad
151.2312   -7.7271  N3115-003  10 04 55.5  -07 43 37.4   307.08  19.10  Simbad
151.2379   -7.7730  N3115-004  10 04 57.1  -07 46 22.8   568.28  18.65  Simbad
151.2458   -7.7609  N3115-005  10 04 59.0  -07 45 39.1   881.48  18.34  Simbad
151.2467   -7.7636  N3115-006  10 04 59.2  -07 45 48.8   623.68  17.54  Simbad
151.2492   -7.7422  N3115-007  10 04 59.8  -07 44 32.0   414.88  18.52  Simbad
151.2517   -7.7409  N3115-008  10 05 00.4  -07 44 27.3   653.48  17.83  Simbad
151.2533   -7.6765  N3115-009  10 05 00.8  -07 40 35.3   951.58  18.25  Simbad
151.2533   -7.7703  N3115-010  10 05 00.8  -07 46 12.9   564.38  18.94  Simbad
151.2558   -7.7582  N3115-011  10 05 01.4  -07 45 29.7   506.48  18.16  Simbad
151.2563   -7.7455  N3115-012  10 05 01.5  -07 44 43.8   668.08  17.39  Simbad
151.2583   -7.7415  N3115-013  10 05 02.0  -07 44 29.5   453.78  99.99  Simbad
151.2617   -7.7468  N3115-014  10 05 02.8  -07 44 48.4   489.48  18.82  Simbad
151.2646   -7.7768  N3115-015  10 05 03.5  -07 46 36.4   455.78  18.87  Simbad
151.2658   -7.7102  N3115-016  10 05 03.8  -07 42 36.6   573.68  18.97  Simbad
151.2679   -7.7634  N3115-017  10 05 04.3  -07 45 48.1   655.98  19.08  Simbad
151.2683   -7.7063  N3115-018  10 05 04.4  -07 42 22.8   288.58  19.80  Simbad
151.2692   -7.6828  N3115-019  10 05 04.6  -07 40 58.2   636.08  18.98  Simbad
151.2704   -7.7648  N3115-020  10 05 04.9  -07 45 53.3   392.18  19.15  Simbad
151.2704   -7.6966  N3115-021  10 05 04.9  -07 41 47.6   736.08  19.21  Simbad
151.2712   -7.7614  N3115-022  10 05 05.1  -07 45 40.9   310.38  17.60  Simbad
151.2717   -7.7244  N3115-023  10 05 05.2  -07 43 27.9   648.78  17.96  Simbad
151.2725   -7.7301  N3115-024  10 05 05.4  -07 43 48.2   527.08  17.74  Simbad
151.2729   -7.7182  N3115-025  10 05 05.5  -07 43 05.5   646.48  18.92  Simbad
151.2729   -7.7765  N3115-026  10 05 05.5  -07 46 35.3   473.88  19.03  Simbad
151.2733   -7.6807  N3115-027  10 05 05.6  -07 40 50.7   720.48  18.19  Simbad
151.2738   -7.6969  N3115-028  10 05 05.7  -07 41 48.8   683.08  19.24  Simbad
151.2742   -7.7684  N3115-029  10 05 05.8  -07 46 06.4   567.38  18.74  Simbad
151.2750   -7.6974  N3115-030  10 05 06.0  -07 41 50.7   698.68  20.31  Simbad
151.2762   -7.6997  N3115-031  10 05 06.3  -07 41 59.0   633.68  17.83  Simbad
151.2762   -7.7507  N3115-032  10 05 06.3  -07 45 02.7   503.78  18.11  Simbad
151.2767   -7.6805  N3115-033  10 05 06.4  -07 40 49.7   613.68  17.63  Simbad
151.2771   -7.7591  N3115-034  10 05 06.5  -07 45 32.8   354.28  18.23  Simbad
151.2787   -7.7459  N3115-035  10 05 06.9  -07 44 45.3   550.48  17.76  Simbad
151.2792   -7.7653  N3115-036  10 05 07.0  -07 45 55.2   438.78  18.91  Simbad
151.2796   -7.7230  N3115-037  10 05 07.1  -07 43 22.7   354.08  17.97  Simbad
151.2808   -7.6571  N3115-038  10 05 07.4  -07 39 25.7   449.88  18.67  Simbad
151.2808   -7.7604  N3115-039  10 05 07.4  -07 45 37.3   407.28  18.17  Simbad
151.2812   -7.7094  N3115-040  10 05 07.5  -07 42 33.7   708.28  18.95  Simbad
151.2825   -7.6841  N3115-041  10 05 07.8  -07 41 02.9   558.38  17.95  Simbad
151.2829   -7.7551  N3115-042  10 05 07.9  -07 45 18.5   379.88  18.52  Simbad
151.2829   -7.7498  N3115-043  10 05 07.9  -07 44 59.2   390.98  18.20  Simbad
151.2837   -7.7278  N3115-044  10 05 08.1  -07 43 40.1   279.98  18.01  Simbad
151.2837   -7.7470  N3115-045  10 05 08.1  -07 44 49.1   598.98  17.96  Simbad
151.2837   -7.7347  N3115-046  10 05 08.1  -07 44 05.0   263.18  17.54  Simbad
151.2842   -7.7153  N3115-047  10 05 08.2  -07 42 55.0   362.78  18.21  Simbad
